id,context,question,answer_text,answer_start
0083f5e20c024f32967a1b52,"පවතින අයහපත් කාලගුණය හේතුවෙන් දිවයිනේ දිස්ත්‍රික්ක තුනක ප්‍රාදේශීය ලේකම් කොට්ඨාස හතකට නායයාමේ පුර්ව අනතුරු ඇඟවීමේ නිවේදන නිතුක් කිරීමට ජාතික ගොඩනැගිලි පර්යේෂණ සංවිධානය පියවර ගෙන තිබේ. ගාල්ල දිස්ත්‍රික්කයේ නෙළුව, ඇල්පිටිය, නාගොඩ, යක්කලමුල්ල, කළුතර දිස්ත්‍රික්කයේ හොරණ, මතුගම, මාතර දිස්ත්‍රික්කයේ පිටබැද්දර යන ප්‍රාදේශීය ලේකම් කොට්ඨාසවලට මෙම නායයාමේ අනතුරු ඇඟවීමේ නිවේදන නිකුත් කොට ඇත. 16 දින රාත්‍රි 7.30 සිට 17 රාත්‍රී 7.30 දක්වා කාලය සඳහා මෙම නායයාමේ අනතුරු ඇඟවීමේ නිවේදනයක් නිකුත් කොට ඇති බවත්, එම ප්‍රාදේශීය ලේකම් කොට්ඨාසයන්ගේ පදිංචි ජනතාව මේ සම්බන්ධයෙන් සැළකිලිමත් වන ලෙස ජාතික ගොඩනැගිලි පර්යේෂණ සංවිධානය පවසයි.",කුමන ප්‍රාදේශීය ලේකම් කොට්ඨාස වලට නායයාමේ අනතුරු ඇඟවීමේ නිවේදන නිකුත් කෙරුණාද?,"ගාල්ල දිස්ත්‍රික්කයේ නෙළුව, ඇල්පිටිය, නාගොඩ, යක්කලමුල්ල, කළුතර දිස්ත්‍රික්කයේ හොරණ, මතුගම, මාතර දිස්ත්‍රික්කයේ පිටබැද්දර",184
0083f5e20c024f32967a1b52_2,"පවතින අයහපත් කාලගුණය හේතුවෙන් දිවයිනේ දිස්ත්‍රික්ක තුනක ප්‍රාදේශීය ලේකම් කොට්ඨාස හතකට නායයාමේ පුර්ව අනතුරු ඇඟවීමේ නිවේදන නිතුක් කිරීමට ජාතික ගොඩනැගිලි පර්යේෂණ සංවිධානය පියවර ගෙන තිබේ. ගාල්ල දිස්ත්‍රික්කයේ නෙළුව, ඇල්පිටිය, නාගොඩ, යක්කලමුල්ල, කළුතර දිස්ත්‍රික්කයේ හොරණ, මතුගම, මාතර දිස්ත්‍රික්කයේ පිටබැද්දර යන ප්‍රාදේශීය ලේකම් කොට්ඨාසවලට මෙම නායයාමේ අනතුරු ඇඟවීමේ නිවේදන නිකුත් කොට ඇත. 16 දින රාත්‍රි 7.30 සිට 17 රාත්‍රී 7.30 දක්වා කාලය සඳහා මෙම නායයාමේ අනතුරු ඇඟවීමේ නිවේදනයක් නිකුත් කොට ඇති බවත්, එම ප්‍රාදේශීය ලේකම් කොට්ඨාසයන්ගේ පදිංචි ජනතාව මේ සම්බන්ධයෙන් සැළකිලිමත් වන ලෙස ජාතික ගොඩනැගිලි පර්යේෂණ සංවිධානය පවසයි.",නායයාමේ අනතුරු ඇඟවීමේ නිවේදනයක් කවර කාලය සඳහා නිකුත් කෙරුණා?,16 දින රාත්‍රි 7.30 සිට 17 රාත්‍රී 7.30 ,384
008d93af0df641b5bad457ce,වෙසක් සිරි නැරඹීම සඳහා පිරිසක් සමඟ යමින් සිටි පුද්ගලයකුට ඔරුගොඩවත්ත  බේස්ලයින් මාර්ගයේදී  පිහියකින් ඇන ඝාතනය කල පුද්ගලයන් තිදෙනකු අත්අඩංගුවට ගත් බව  ග්‍රෑන්ඩ්පාස්  පොලිසිය කියයි. සිද්ධියෙන් ඝාතනයට ලක්ව ඇත්තේ  පෑලියගොඩ මීගමුව පාර නෙල්ලි ගහවත්ත  ප්‍රදේශයේ පදිංචි ටි ලුක්ශාන් නමැති 22 හැවිරිදි පුද්ගලයෙකි . ග්‍රෑන්ඩ්පාස්  පොලිස් වසමේ බේස්ලයින් පාර බණ්ඩාරනායක වටරවුම දෙසින්  මියගිය අය තවත් පිරිසක් සමග ඔරුගොඩවත්ත  මාර්ගයට වෙසක් සිරි නැරඹීම සඳහා යමින් සිටියදී  සැකකරුවන් තිදෙනා මුහුණට මුහුණ හමුවී ඇති අතර එහිදී පේම සබඳතාවයක් මුල් කරගමින් ඇතිවූ ආරවුලක් මත  පිහියෙන් ඇන ඇති බව පොලිසිය සිදුකළ විමර්ශනවලදී අනාවරණය වී ඇත. .,වෙසක් සිරි නරඹීම සඳහා ගිය පුද්ගලයාට පිහි ඇන සිද්ධිය වාර්තා වූ ප්‍රදේශය කොහෙද?,ඔරුගොඩවත්ත,57
008d93af0df641b5bad457ce_2,වෙසක් සිරි නැරඹීම සඳහා පිරිසක් සමඟ යමින් සිටි පුද්ගලයකුට ඔරුගොඩවත්ත  බේස්ලයින් මාර්ගයේදී  පිහියකින් ඇන ඝාතනය කල පුද්ගලයන් තිදෙනකු අත්අඩංගුවට ගත් බව  ග්‍රෑන්ඩ්පාස්  පොලිසිය කියයි. සිද්ධියෙන් ඝාතනයට ලක්ව ඇත්තේ  පෑලියගොඩ මීගමුව පාර නෙල්ලි ගහවත්ත  ප්‍රදේශයේ පදිංචි ටි ලුක්ශාන් නමැති 22 හැවිරිදි පුද්ගලයෙකි . ග්‍රෑන්ඩ්පාස්  පොලිස් වසමේ බේස්ලයින් පාර බණ්ඩාරනායක වටරවුම දෙසින්  මියගිය අය තවත් පිරිසක් සමග ඔරුගොඩවත්ත  මාර්ගයට වෙසක් සිරි නැරඹීම සඳහා යමින් සිටියදී  සැකකරුවන් තිදෙනා මුහුණට මුහුණ හමුවී ඇති අතර එහිදී පේම සබඳතාවයක් මුල් කරගමින් ඇතිවූ ආරවුලක් මත  පිහියෙන් ඇන ඇති බව පොලිසිය සිදුකළ විමර්ශනවලදී අනාවරණය වී ඇත. .,ඝාතනයට ලක්වූ පුද්ගලයාගේ නම කුමක්ද?,ලුක්ශාන්,264
018419bf18804ef2816abad0,කොළඹ පාරිභෝගික මිල දර්ශකය අනුව උද්ධමන අනුපාතය අගෝස්තු මාස සියයට 0.5 ක් දක්වා පහත වැටී ඇති බව ජනලේඛන හා සංඛ්‍යාලේඛන දෙපාර්තමේන්තුව පවසයි. ජූලි මාස උද්ධමනය සියයට 2.4 ක්ව පැවැති බව ද එම දෙපාර්තමේන්තුව සඳහන් කළේය. අගෝස්තු මාසයේ ආහාර කාණ්ඩයේ වාර්ෂික උද්ධමනය සියයට 0.8 ක් දක්වා  අඩු වී ඇති  බවත් එය පසුගිය ජූලි මාසයේ සියයට 1.5 ක  පැවැති බවත් එම දෙපාර්තමේන්තුව කීය. ආහාර නොවන කාණ්ඩයේ අගෝස්තු මස උද්ධමනය සියයට  0.4 ක් දක්වා අඩු වී ඇති බව කියන ජනලේඛන හා සංඛ්‍යාලේඛන දෙපාර්තමේන්තුව එය ජූලි මාස සියයට 2.8 ක් ලෙස වාර්තා වූ බව ද සඳහන් කරයි., අගෝස්තු මාසයේ කොළඹ උද්ධමන අනුපාතය කීයද?,0.5,64
018419bf18804ef2816abad0_2,කොළඹ පාරිභෝගික මිල දර්ශකය අනුව උද්ධමන අනුපාතය අගෝස්තු මාස සියයට 0.5 ක් දක්වා පහත වැටී ඇති බව ජනලේඛන හා සංඛ්‍යාලේඛන දෙපාර්තමේන්තුව පවසයි. ජූලි මාස උද්ධමනය සියයට 2.4 ක්ව පැවැති බව ද එම දෙපාර්තමේන්තුව සඳහන් කළේය. අගෝස්තු මාසයේ ආහාර කාණ්ඩයේ වාර්ෂික උද්ධමනය සියයට 0.8 ක් දක්වා  අඩු වී ඇති  බවත් එය පසුගිය ජූලි මාසයේ සියයට 1.5 ක  පැවැති බවත් එම දෙපාර්තමේන්තුව කීය. ආහාර නොවන කාණ්ඩයේ අගෝස්තු මස උද්ධමනය සියයට  0.4 ක් දක්වා අඩු වී ඇති බව කියන ජනලේඛන හා සංඛ්‍යාලේඛන දෙපාර්තමේන්තුව එය ජූලි මාස සියයට 2.8 ක් ලෙස වාර්තා වූ බව ද සඳහන් කරයි.,ජූලි මාසයේ උද්ධමන අනුපාතය කීයද?,2.4,160
01fa1212ff184ad68c6965db,හෙරොයින් තොගයක් සමග සැකකරුවෙකු පොලීසිය විසින් අත්අඩංගුවට ගෙන තිබේ. මෙලෙස අත්අඩංගුවට ගෙන ඇත්තේ 37 හැවිරිදි වියේ පසුවන පානදුර වලපන ප්‍රදේශයේ පදිංචිකරුවෙකි. එහිදී සැකකරු සන්තකයේ තිබී හෙරොයින් කිලෝග්‍රෑම් 1යි ග්‍රෑම් 850ක් පොලීසිය සොයාගෙන ඇත. සැකකරු අත්අඩංගුවට ගත් අවස්ථාවේ ඔහු සතුව තිබූ ජංගම දුරකථනයක්ද පොලීසිය සිය භාරයට ගෙන ඇත. කළුතර අපරාධ කොට්ඨාශය සිද්ධිය සම්බන්ධයෙන් වැඩිදුර විමර්ශන සිදුකරයි.,සැකකරු සතු සිටි මත්ද්‍රව්‍යය කුමක්ද?,හෙරොයින්,0
01fa1212ff184ad68c6965db_2,හෙරොයින් තොගයක් සමග සැකකරුවෙකු පොලීසිය විසින් අත්අඩංගුවට ගෙන තිබේ. මෙලෙස අත්අඩංගුවට ගෙන ඇත්තේ 37 හැවිරිදි වියේ පසුවන පානදුර වලපන ප්‍රදේශයේ පදිංචිකරුවෙකි. එහිදී සැකකරු සන්තකයේ තිබී හෙරොයින් කිලෝග්‍රෑම් 1යි ග්‍රෑම් 850ක් පොලීසිය සොයාගෙන ඇත. සැකකරු අත්අඩංගුවට ගත් අවස්ථාවේ ඔහු සතුව තිබූ ජංගම දුරකථනයක්ද පොලීසිය සිය භාරයට ගෙන ඇත. කළුතර අපරාධ කොට්ඨාශය සිද්ධිය සම්බන්ධයෙන් වැඩිදුර විමර්ශන සිදුකරයි.,සැකකරු අයත් වයස කීයද?,37,94
056347a96ead40ed9bc6d319,බොහොමයක් ඇල්කයින ඩීහැලජනීකරනය මගින් නිපදවා ගනී. මෙහිදී විසිනල් හෝ විනිල් ඩයිහේලයිඩ ඩීහැලජනීකරනය කරයි.එසේම විනිල් බ්‍රෝමයිඩ කිරීම මගින්ද අල්කයින නිපදවා ගනී.එමෙන්ම ඇල්ඩිහයිඩ කෝනිෆ්ච් ප්‍රතික්‍රියාවට ලක් කිරීම මගින්ද ඇල්කයින නිපදවා ගනී.මීට අමතරව කීටෝන ප්‍රතික්‍රියාවට ලක් කිරීමෙන්ද ඇල්කයිනලබා ගත හැක. එසේම ඇල්කයින ප්‍රභල භෂ්ම සමග ප්‍රතික්‍රියාවෙන් තවත් ඇල්කයින ලබා ගැනීමද සිදු කරයි.,ඇල්කයින නිපදවා ගැනීමේ විවිධ ක්‍රම මොනවාද?,ඩීහැලජනීකරනය මගින් නිපදවා ගනී. මෙහිදී විසිනල් හෝ විනිල් ඩයිහේලයිඩ ඩීහැලජනීකරනය කරයි.එසේම විනිල් බ්‍රෝමයිඩ කිරීම මගින්ද අල්කයින නිපදවා ගනී.,17
05e2dd2ef4a04f6a896999c0,බෙල්ජියමේ බ්‍රසල්ස් අගනුවර පෙරේදා (16) සිදු වූ වෙඩි තැබීමකින් ස්වීඩන් ජාතිකයන් දෙදෙනෙකු මියගොස් තවත් අයෙකු තුවාල ලබා රෝහල්ගත කර තිබේ. මෙම ප්‍රහාරයත් සමගම බ්‍රසල්ස් නගරයට ඉහළම ත්‍රස්තවාදී ප්‍රහාර අනතුරු ඇඟවීමක් නිකුත් කර තිබූ අතර යුරෝපයේ සෙසු රටවල දැඩි අවධානයට මෙම සිදුවීම ලක්ව තිබූ බව විදෙස් මාධ්‍ය පවසයි.,වෙඩි තැබීම සිදුවූයේ කොහෙදීද?,බෙල්ජියමේ බ්‍රසල්ස් අගනුවර,0
